"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 18 14:20:18 GMT+12:00 2023","Sat Nov 18 14:20:22 GMT+12:00 2023","4267","tests","test_users","TestUsers","","","test_create_new_user_positive[get_create_user_data3]","
        Validation points:
        - validate_successful_response_201
        - validate_content_type
        - validate_auth_token
        - validate response is a dictionary
        - validate_response_time
        - validate_environment
        - validate_single_object_schema
        - validate_response_body
        - validate gender is either male or female
        - validate status is either active or inactive
        "
"passed","Sat Nov 18 14:22:06 GMT+12:00 2023","Sat Nov 18 14:22:06 GMT+12:00 2023","295","tests","test_users","TestUsers","","","test_get_user_by_id_negative[ ]",""
"passed","Sat Nov 18 14:20:27 GMT+12:00 2023","Sat Nov 18 14:20:30 GMT+12:00 2023","2758","tests","test_users","TestUsers","","","test_create_new_user_positive[get_create_user_data5]","
        Validation points:
        - validate_successful_response_201
        - validate_content_type
        - validate_auth_token
        - validate response is a dictionary
        - validate_response_time
        - validate_environment
        - validate_single_object_schema
        - validate_response_body
        - validate gender is either male or female
        - validate status is either active or inactive
        "
"passed","Sat Nov 18 14:18:50 GMT+12:00 2023","Sat Nov 18 14:18:54 GMT+12:00 2023","3542","tests","test_posts","TestPosts","","","test_get_post_by_id_positive",""
"passed","Sat Nov 18 14:20:03 GMT+12:00 2023","Sat Nov 18 14:20:07 GMT+12:00 2023","4748","tests","test_posts","TestPosts","","","test_delete_post_negative[!@#$]",""
"passed","Sat Nov 18 14:19:03 GMT+12:00 2023","Sat Nov 18 14:19:05 GMT+12:00 2023","2172","tests","test_posts","TestPosts","","","test_search_post_by_user_id_positive",""
"passed","Sat Nov 18 14:18:26 GMT+12:00 2023","Sat Nov 18 14:18:30 GMT+12:00 2023","3876","tests","test_posts","TestPosts","","","test_create_new_post_positive[get_create_post_data1]",""
"passed","Sat Nov 18 14:22:15 GMT+12:00 2023","Sat Nov 18 14:22:18 GMT+12:00 2023","3331","tests","test_users","TestUsers","","","test_delete_user_negative",""
"failed","Sat Nov 18 14:18:20 GMT+12:00 2023","Sat Nov 18 14:18:26 GMT+12:00 2023","5590","tests","test_posts","TestPosts","","","test_create_new_post_positive[get_create_post_data0]",""
"passed","Sat Nov 18 14:20:49 GMT+12:00 2023","Sat Nov 18 14:20:49 GMT+12:00 2023","508","tests","test_users","TestUsers","","","test_get_all_users_positive","
        Validation points:
        - validate_successful_response_200
        - validate_content_type
        - validate_auth_token
        - validate response is an array/list
        - validate_response_time
        - validate_environment
        - validate_multiple_object_schema
        "
